('Total Revenue', '254,190,000', '245,122,000', '211,915,000', '198,270,000', '168,088,000')
         398126 function calls (394604 primitive calls) in 1.344 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1467    0.001    0.000    0.001    0.000 /home/rvmzs/Рабочий стол/21_school/DS_Bootcamp/DS_Bootcamp.Day03-1/src/ex04/env04/lib/python3.12/site-packages/h11/_connection.py:212(their_state)
       98    0.001    0.000    0.001    0.000 {method 'read' of '_io.BufferedReader' objects}
       24    0.001    0.000    0.009    0.000 /usr/lib/python3.12/dataclasses.py:921(_process_class)
      321    0.001    0.000    0.001    0.000 /home/rvmzs/Рабочий стол/21_school/DS_Bootcamp/DS_Bootcamp.Day03-1/src/ex04/env04/lib/python3.12/site-packages/h11/_receivebuffer.py:67(_extract)
      280    0.001    0.000    0.001    0.000 /home/rvmzs/Рабочий стол/21_school/DS_Bootcamp/DS_Bootcamp.Day03-1/src/ex04/env04/lib/python3.12/site-packages/h11/_connection.py:330(_respond_to_state_changes)
    37/15    0.001    0.000    0.001    0.000 /usr/lib/python3.12/re/_parser.py:512(_parse)
     2711    0.001    0.000    0.001    0.000 /home/rvmzs/Рабочий стол/21_school/DS_Bootcamp/DS_Bootcamp.Day03-1/src/ex04/env04/lib/python3.12/site-packages/bs4/builder/__init__.py:205(can_be_empty_element)
     3768    0.001    0.000    0.001    0.000 {method 'rstrip' of 'str' objects}
        1    0.001    0.001    0.001    0.001 {built-in method _socket.getaddrinfo}
      317    0.000    0.000    0.001    0.000 /home/rvmzs/Рабочий стол/21_school/DS_Bootcamp/DS_Bootcamp.Day03-1/src/ex04/env04/lib/python3.12/site-packages/h11/_connection.py:352(receive_data)
      857    0.000    0.000    0.001    0.000 /usr/lib/python3.12/typing.py:1188(__setattr__)
      634    0.000    0.000    0.001    0.000 /home/rvmzs/Рабочий стол/21_school/DS_Bootcamp/DS_Bootcamp.Day03-1/src/ex04/env04/lib/python3.12/site-packages/h11/_receivebuffer.py:60(__len__)
     2732    0.000    0.000    0.000    0.000 {method 'strip' of 'str' objects}
       98    0.000    0.000    0.008    0.000 <frozen importlib._bootstrap_external>:1062(get_code)
     6692    0.000    0.000    0.000    0.000 /home/rvmzs/Рабочий стол/21_school/DS_Bootcamp/DS_Bootcamp.Day03-1/src/ex04/env04/lib/python3.12/site-packages/bs4/element.py:1586(__bool__)
      109    0.000    0.000    0.005    0.000 <frozen importlib._bootstrap>:1240(_find_spec)
      317    0.000    0.000    0.000    0.000 /home/rvmzs/Рабочий стол/21_school/DS_Bootcamp/DS_Bootcamp.Day03-1/src/ex04/env04/lib/python3.12/site-packages/h11/_receivebuffer.py:53(__iadd__)
      196    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:482(cache_from_source)
      274    0.000    0.000    0.017    0.000 /home/rvmzs/Рабочий стол/21_school/DS_Bootcamp/DS_Bootcamp.Day03-1/src/ex04/env04/lib/python3.12/site-packages/httpx/_decoders.py:95(decode)
       98    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:751(_compile_bytecode)
    113/5    0.000    0.000    0.042    0.008 <frozen importlib._bootstrap>:1349(_find_and_load)
     2685    0.000    0.000    0.000    0.000 {method 'keys' of 'dict' objects}
      125    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:304(acquire)
      317    0.000    0.000    0.001    0.000 /home/rvmzs/Рабочий стол/21_school/DS_Bootcamp/DS_Bootcamp.Day03-1/src/ex04/env04/lib/python3.12/site-packages/h11/_receivebuffer.py:57(__bool__)
     2974    0.000    0.000    0.000    0.000 {method 'pop' of 'list' objects}
     2293    0.000    0.000    0.001    0.000 <frozen abc>:117(__instancecheck__)
     3383    0.000    0.000    0.000    0.000 /home/rvmzs/Рабочий стол/21_school/DS_Bootcamp/DS_Bootcamp.Day03-1/src/ex04/env04/lib/python3.12/site-packages/bs4/element.py:2062(descendants)
     2293    0.000    0.000    0.000    0.000 {built-in method _abc._abc_instancecheck}
